Comune,media_prima,Comune,media_dopo,var
Serra de' Conti,17088.63546791718,Serra de' Conti,17181.72085218703,0.5447209898333353
Sirolo,24044.913437884377,Sirolo,26293.42358597285,9.35129233838619
Arezzo,460569.70251640014,Arezzo,542019.8515271493,17.684651979001785
Camerano,28860.577234522352,Camerano,34460.724981146304,19.40414324050728
Frontone,6171.807554325544,Frontone,6360.11395173454,3.0510737049314005
Poggio San Marcello,5249.277290897909,Poggio San Marcello,4221.438895173454,-19.580569643495426
Offagna,6957.937269372694,Offagna,7725.284954751131,11.02837889551165
Polverigi,14582.240941471913,Polverigi,18249.67422699849,25.14999786552965
Castelplanio,13843.534209717098,Castelplanio,16628.8693627451,20.12011608331137
Pietralunga,11522.942189421894,Pietralunga,11341.660143288085,-1.573227073031976
Citerna,12948.162553813037,Citerna,15287.707503770736,18.06854787491634
Sassoferrato,39028.81212843378,Sassoferrato,42930.278601055805,9.996375138918651
Osimo,100349.13156006561,Osimo,119021.99643665158,18.60789882910847
Maiolati Spontini,24225.73330514555,Maiolati Spontini,26268.430222473602,8.431930177709763
Serra Sant'Abbondio,4608.55901496515,Serra Sant'Abbondio,4672.121172699849,1.3792197849327068
Cantiano,12874.053838663387,Cantiano,13234.720041478131,2.8014967727693536
Numana,37024.70288796638,Numana,35524.69157239819,-4.051379750722369
Santa Maria Nuova,10261.643309245594,Santa Maria Nuova,11510.792665912519,12.172995289569844
Monterchi,10059.633341020912,Monterchi,10609.475188536953,5.465823940857871
Rosora,4695.188486572365,Rosora,6640.485049019608,41.43170328540676
Castelbellino,12530.375076875769,Castelbellino,13493.267251131221,7.684464099023064
Gubbio,187869.25092250924,Gubbio,204371.00390271493,8.783636970486567
Monte Roberto,13460.09175123001,Monte Roberto,13910.635049019607,3.3472527982465388
Castelfidardo,54880.220261890114,Castelfidardo,65965.3632730015,20.19879468087543
Mergo,3841.483894526446,Mergo,3971.0220776772253,3.372087107676082
Genga,15764.984496719966,Genga,17068.644419306183,8.269338437075243
Serra San Quirico,16942.358010455104,Serra San Quirico,18425.70103695324,8.755233631486051
Monte Santa Maria Tiberina,14351.233638273885,Monte Santa Maria Tiberina,14329.801508295626,-0.14933998371471327
Cupramontana,14987.680132738828,Cupramontana,14873.401640271493,-0.7624828622923855
San Paolo di Jesi,4803.876473452235,San Paolo di Jesi,4445.325603318251,-7.463782054252464
Filottrano,26281.02310116851,Filottrano,32184.788216440425,22.463985106460417
Porto Recanati,61543.731242312424,Porto Recanati,61949.626885369544,0.6595239431600455
Staffolo,11563.756688191881,Staffolo,12438.82992081448,7.5673784585606505
Scheggia e Pascelupo,9064.615518655188,Scheggia e Pascelupo,9333.98229638009,2.9716293776668175
Loreto,53593.35182195571,Loreto,59257.276300904974,10.568334105628589
Recanati,86342.27129458795,Recanati,99275.29519230769,14.978785829705647
Montefano,17442.233241082413,Montefano,18329.160199849168,5.0849392191232665
Montone,10112.783825338254,Montone,8713.948812217195,-13.832343667983732
