Comune,n_imprese,tot_ricavi,tot_dipendenti,failed,failed_ricavi,failed_dipendenti
Panicale,80,67841.0,733,0.4125,0.1109063840450465,0.19918144611186903
Parrano,3,1351.0,7,0.6666666666666666,1.0,1.0
Passignano sul Trasimeno,48,63630.0,599,0.375,0.2236209335219236,0.29716193656093487
Pedaso,22,32196.0,160,0.09090909090909091,0.004224127220772767,0.0125
Peglio,11,556.0,14,0.6363636363636364,0.9820143884892086,1.0
Penna San Giovanni,8,4746.0,32,0.25,0.027391487568478718,0.0
Penna Sant'Andrea,17,19718.0,120,0.17647058823529413,0.024241809514149507,0.016666666666666666
Penna in Teverina,12,3583.0,21,0.4166666666666667,0.514652525816355,0.47619047619047616
Pennapiedimonte,5,1727.0,14,0.4,0.09438332368268675,0.14285714285714285
Penne,78,91275.0,1502,0.38461538461538464,0.09110928512736237,0.10918774966711052
Pergola,92,115093.0,776,0.3804347826086957,0.05022025666200377,0.14690721649484537
Perugia,3010,8827819.0,28826,0.386046511627907,0.13267637227269838,0.13636994380073544
Pescara,2530,2824996.0,16077,0.42648221343873516,0.21970331993390432,0.290539279716365
Pescorocchiano,7,1058.0,25,0.5714285714285714,0.2731568998109641,0.44
Pescosansonesco,1,66.0,3,1.0,1.0,1.0
Petrella Salto,3,575.0,9,0.6666666666666666,0.6086956521739131,0.5555555555555556
Petriano,49,150759.0,771,0.1836734693877551,0.023394954861732965,0.04409857328145266
Petriolo,18,30163.0,212,0.2777777777777778,0.3496005039286543,0.3584905660377358
Petritoli,21,15340.0,68,0.38095238095238093,0.026923076923076925,0.058823529411764705
Piandimeleto,48,94202.0,293,0.3333333333333333,0.03206938281565147,0.09897610921501707
Pianella,65,158131.0,516,0.3384615384615385,0.07952267423844787,0.10271317829457365
Piansano,14,16844.0,42,0.21428571428571427,0.00765851341724056,0.0
Picciano,8,4332.0,41,0.25,0.06255771006463527,0.0975609756097561
Piegaro,20,119663.0,260,0.25,0.005356710094181159,0.026923076923076925
Pietracamela,15,1791.0,28,0.6,0.49022892238972643,0.32142857142857145
Pietralunga,15,23228.0,131,0.26666666666666666,0.024022731186499054,0.05343511450381679
Pietranico,2,1290.0,18,0.0,0.0,0.0
Pieve Torina,21,27666.0,135,0.38095238095238093,0.07597773440323863,0.18518518518518517
Pineto,248,322032.0,1746,0.3588709677419355,0.10825942763452079,0.16953035509736541
Piobbico,35,28768.0,146,0.14285714285714285,0.02200361512791991,0.03424657534246575
Pioraco,6,10235.0,138,0.16666666666666666,0.010161211529066927,0.007246376811594203
Pizzoli,53,24805.0,162,0.3584905660377358,0.1373513404555533,0.2962962962962963
Poggio Bustone,5,982.0,20,0.4,0.038696537678207736,0.25
Poggio Catino,6,6768.0,21,0.3333333333333333,0.0,0.0
Poggio Mirteto,49,18109.0,158,0.4489795918367347,0.2929482577723784,0.2721518987341772
Poggio Moiano,36,4878.0,102,0.5277777777777778,0.24128741287412875,0.21568627450980393
Poggio Nativo,15,3011.0,30,0.6,0.14878777814679509,0.4666666666666667
Poggio Picenze,8,8794.0,38,0.125,0.0,0.0
Poggio San Vicino,1,886.0,16,0.0,0.0,0.0
Poggiodomo,1,94.0,1,1.0,1.0,1.0
Poggiofiorito,18,37892.0,194,0.16666666666666666,0.009025651852633801,0.030927835051546393
