Comune,Distance_from_epicenter
Torri in Sabina,62.32098699653105
Ponzano Romano,74.25859601859922
Configni,55.9846515090392
Stimigliano,71.30636247705428
Labro,39.80139228493706
Collevecchio,70.58505987824682
Colli sul Velino,42.58177733275428
Salisano,62.17300435196037
Casaprota,61.24422604111133
Scandriglia,67.76520631910387
Selci,66.57547882091991
Castel Sant'Angelo,37.86279731201894
Cittaducale,41.136678317153326
Casperia,60.14624850207032
Castel di Tora,58.583279179332045
Castelnuovo di Farfa,66.44588750002895
Roccantica,60.921792312967675
Rocca Sinibalda,54.055398634106645
Posta,23.909959618604244
Collegiove,60.624772281806905
Vejano,107.77078041890732
Forano,69.56316786782216
Frasso Sabino,63.27523343456318
Greccio,48.0367447067888
Concerviano,48.76027707716427
