Comune,CRATER,PHONE_BEFORE,PHONE_AFTER,PCGH,MPE,MPE_INIT,MPE_END,DISTANCE FROM EPICENTER,AGRICOLTURE,OTHER SERV,PUBLIC ADMIN,REAL ESTATE,ENTERTAINMENT,HOSPITALITY,FINANCE,MANUFACTURING,TECH SERVICES,WHOLE/RETAIL SALES,CONSTRUCTIONS,MINING,WASTE MGMT,UTILITIES,EDUCATION,BUSINESS SUPPORT SERVICES,EXTRA,HEALTHCARE,COMMUNICATION AND INFORMATION SERV.,LOGISTICS,ABRUZZO,LAZIO,MARCHE,UMBRIA,ALT_MIN,ALT_MEAN,ALT_MED
Montegabbione,0.0,1105.8117431546473,1250.2024638336347,0.1305744142914156,5.26790182107694,6.119107843335018,5.000605961210258,82.88526696920283,0.0918057663125948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9081942336874052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,233,496.3571,492
Montegallo,1.0,1600.8906864635558,1315.5873078661843,-0.1782154028440382,-27.834896148924216,-18.15223902505302,-30.87544578560744,12.948853525355004,0.0,0.0,0.0,0.0,0.0,0.4806629834254143,0.0,0.0,0.0,0.1408839779005525,0.3784530386740331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,419,1024.534,943
Montegiorgio,1.0,9006.363642499036,9225.372931735988,0.0243171714945523,-0.4791353323548967,3.105025333958596,-1.6046340743176897,40.805475194606345,0.0197492048069078,0.0,0.0,0.0031166069317004,0.0,0.0,0.0,0.412460011183119,0.0105918803222938,0.5183833976515451,0.0100327243727828,0.0,0.0,0.0,0.0,0.0084102554701034,0.0,0.0127826716654597,0.0,0.0044732475960877,0,0,1,0,86,229.9675,226
Montegranaro,0.0,9475.17625337447,11885.94785262206,0.2544302643857442,-4.984787563171109,1.7086553969236074,-7.0866636597956685,53.99364553337479,0.0,0.0,0.0,0.0074165606579982,0.0,0.0,0.0007064547140679,0.7488638460268598,0.0033599083308247,0.2072607036386059,0.0101744044902358,0.0,0.0033987512017013,7.283038289359967e-06,0.0,0.0008108449295487,0.0,0.0,0.0070718301789685,0.0109294127928995,0,0,1,0,18,109.1436,104
Monteleone Sabino,0.0,721.1879001156962,605.5239602169981,-0.1603797566211838,-20.646774658128248,-11.098615390015183,-23.64508925527351,60.69808566694498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4046920821114369,0.0,0.5953079178885631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,275,495.304,471
Monteleone d'Orvieto,0.0,1322.768983802545,1420.6041591320072,0.0739624050211825,-5.132221934620879,-2.2250870839281323,-6.045120914826555,89.0104332625623,0.5376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0737327188940092,0.0,0.2473118279569892,0.141321044546851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,232,351.1387,350
Monteleone di Fermo,1.0,674.6035190898573,639.9450271247739,-0.0513760912659378,-7.385496370215542,6.079469077997872,-11.613767110133075,34.69992474790235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,139,259.41,250
Monteleone di Spoleto,1.0,1825.4199286540688,1525.3640370705243,-0.1643763645139908,-15.893759051242078,-15.118620673075217,-16.13716813657506,21.546346457322336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151515151515151,0.9848484848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,724,1055.07,1017
Montelparo,1.0,1216.966862707289,1106.494055153707,-0.0907771698136644,-12.49341768344523,-5.936740140747957,-14.552346680440143,33.266345816188,0.2293144208037825,0.0,0.0,0.0,0.0,0.6004728132387707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702127659574468,0.0,0.0,0,0,1,0,226,388.8055,389
Montelupone,0.0,5519.308494022368,6463.466331374322,0.1710645162114991,17.42362890511462,21.277335393230512,16.21348733835011,59.924578072910286,0.0002048595614542,0.0,0.0,0.0049824771910827,0.0,0.0,0.0,0.9298868150922964,5.853130327263149e-05,0.0259147345239575,0.0191690018217868,0.0,0.0164546126325185,0.001485231820543,0.0,0.0018437360530878,0.0,0.0,0.0,0.0,0,0,1,0,5,115.3537,110
